Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
FL_CS15_13.trim_1P	71.65331731155597	40.0	98.68747201610341	18.181818181818183	261311.0
FL_CS15_13.trim_1U	28.611593483833616	41.0	86.03522699082113	9.090909090909092	12093.0
FL_CS15_13.trim_2P	68.94198866484763	39.0	97.13789316178806	27.27272727272727	261311.0
FL_CS15_13.trim_2U	7.692307692307693	40.0	79.32645403377111	9.090909090909092	1066.0
FL_CS15_16.trim_1P	70.65625795502758	40.0	98.61852863809928	18.181818181818183	294625.0
FL_CS15_16.trim_1U	28.731595299203022	41.0	85.29771714169931	18.181818181818183	14806.0
FL_CS15_16.trim_2P	67.86491302503183	40.0	97.06799490878235	27.27272727272727	294625.0
FL_CS15_16.trim_2U	9.196290571870165	39.0	79.62132921174653	36.36363636363637	1294.0
FL_CS15_58.trim_1P	75.06010973285207	40.0	98.64869844323034	18.181818181818183	345202.0
FL_CS15_58.trim_1U	28.96752046474782	41.0	85.67454449432269	18.181818181818183	15148.0
FL_CS15_58.trim_2P	72.77391208625674	39.0	97.32436660274274	27.27272727272727	345202.0
FL_CS15_58.trim_2U	12.335958005249353	39.0	80.61023622047244	18.181818181818183	1524.0
FL_CS16_21.trim_1P	73.08297375044947	40.0	98.64850130990908	9.090909090909092	311472.0
FL_CS16_21.trim_1U	44.36023086137428	40.0	94.04835021234891	18.181818181818183	45915.0
FL_CS16_21.trim_2P	68.4966867005702	39.0	94.41856731905276	36.36363636363637	311472.0
FL_CS16_21.trim_2U	8.270106221547806	40.0	80.10622154779969	0.0	1318.0
FL_CS16_43.trim_1P	76.77926507937273	39.0	97.33648903070161	9.090909090909092	579481.0
FL_CS16_43.trim_1U	26.700229108887015	42.0	79.70034969251175	18.181818181818183	33172.0
FL_CS16_43.trim_2P	73.6883473848191	39.0	96.0612996802311	27.27272727272727	579481.0
FL_CS16_43.trim_2U	16.47793830534947	39.0	72.74931667317455	27.27272727272727	10244.0
FL_CS16_49.trim_1P	71.27361684734534	39.0	98.64944271255925	18.181818181818183	327838.0
FL_CS16_49.trim_1U	30.537319140799298	41.0	85.72388297533304	9.090909090909092	15689.0
FL_CS16_49.trim_2P	69.32129500949506	39.0	97.40604810912707	27.27272727272727	327838.0
FL_CS16_49.trim_2U	8.79199428162974	39.0	80.99070764832022	27.27272727272727	1399.0
FL_CS17_33.trim_1P	72.53980909685815	41.0	98.61243202178312	9.090909090909092	265894.0
FL_CS17_33.trim_1U	30.563037908153206	42.0	86.09959923789502	18.181818181818183	15221.0
FL_CS17_33.trim_2P	69.77028439904623	41.0	96.80210911114956	9.090909090909092	265894.0
FL_CS17_33.trim_2U	5.98290598290599	41.0	78.4349477682811	9.090909090909092	1053.0
FL_CS17_42.trim_1P	65.39033002377289	40.0	98.66277443714166	9.090909090909092	228832.0
FL_CS17_42.trim_1U	27.652029575977068	41.0	86.71827372868567	18.181818181818183	13254.0
FL_CS17_42.trim_2P	62.38288351279541	40.0	96.7640015382464	9.090909090909092	228832.0
FL_CS17_42.trim_2U	9.730848861283647	39.0	80.88612836438924	18.181818181818183	966.0
FL_CS17_45.trim_1P	71.97945842002193	40.0	98.62038915811036	9.090909090909092	310979.0
FL_CS17_45.trim_1U	34.07151819322459	40.0	87.20966122961104	18.181818181818183	15940.0
FL_CS17_45.trim_2P	69.49536785442103	40.0	97.00926429115792	27.27272727272727	310979.0
FL_CS17_45.trim_2U	6.640000000000001	40.0	79.7152	9.090909090909092	1250.0
HL_CS15_13.trim_1P	65.65833984836385	41.0	98.62102247815031	9.090909090909092	342110.0
HL_CS15_13.trim_1U	21.360674358821058	43.0	84.88898188557422	18.181818181818183	16727.0
HL_CS15_13.trim_2P	62.972642399900906	41.0	97.18513928268686	27.27272727272727	342110.0
HL_CS15_13.trim_2U	6.317204301075279	40.0	78.48387096774194	18.181818181818183	1488.0
HL_CS15_16.trim_1P	68.50211899296582	41.0	98.57419500112587	9.090909090909092	297547.0
HL_CS15_16.trim_1U	25.44700328994422	43.0	85.55185238163352	18.181818181818183	13982.0
HL_CS15_16.trim_2P	66.34073276224777	41.0	97.2199484451196	27.27272727272727	297547.0
HL_CS15_16.trim_2U	6.642066420664207	40.0	80.30553505535056	18.181818181818183	1355.0
HL_CS15_58.trim_1P	71.44885552900897	41.0	98.57024874742861	9.090909090909092	396185.0
HL_CS15_58.trim_1U	40.03122767968373	42.0	93.5272993040214	27.27272727272727	60203.0
HL_CS15_58.trim_2P	68.38103761411512	41.0	94.6980880144377	27.27272727272727	396185.0
HL_CS15_58.trim_2U	6.640625	41.0	79.88950892857143	9.090909090909092	1792.0
HL_CS16_21.trim_1P	71.20877933730381	41.0	97.16759649294058	9.090909090909092	399537.0
HL_CS16_21.trim_1U	22.123605947955397	43.0	79.64665427509294	9.090909090909092	21520.0
HL_CS16_21.trim_2P	68.47240385184014	40.0	96.30222482523521	27.27272727272727	399537.0
HL_CS16_21.trim_2U	10.460481099656363	40.0	73.45044673539519	9.090909090909092	7275.0
HL_CS16_43.trim_1P	77.57958977415552	41.0	98.61309975769983	9.090909090909092	385885.0
HL_CS16_43.trim_1U	32.53831320410028	43.0	85.56074292093778	18.181818181818183	19706.0
HL_CS16_43.trim_2P	75.26879769879628	41.0	97.03350480065305	27.27272727272727	385885.0
HL_CS16_43.trim_2U	7.513416815742403	41.0	78.2015503875969	9.090909090909092	1677.0
HL_CS16_49.trim_1P	67.04627984457608	41.0	98.54211099684268	9.090909090909092	360749.0
HL_CS16_49.trim_1U	23.626177136726668	43.0	85.10990582906187	18.181818181818183	16778.0
HL_CS16_49.trim_2P	64.37908801905235	41.0	97.24179415604756	27.27272727272727	360749.0
HL_CS16_49.trim_2U	7.604103802051895	41.0	79.81412190706095	9.090909090909092	1657.0
HL_CS17_33.trim_1P	65.31563777795577	41.0	98.52483019437956	9.090909090909092	370718.0
HL_CS17_33.trim_1U	23.38465127128528	43.0	84.96477723349662	9.090909090909092	17148.0
HL_CS17_33.trim_2P	62.8438697138726	41.0	97.33678968919772	18.181818181818183	370718.0
HL_CS17_33.trim_2U	6.765578635014833	41.0	80.60178041543027	18.181818181818183	1685.0
HL_CS17_42.trim_1P	80.70364638746494	41.0	98.63038011413096	18.181818181818183	206780.0
HL_CS17_42.trim_1U	36.98096885813149	41.0	87.530276816609	18.181818181818183	11560.0
HL_CS17_42.trim_2P	78.26917496856562	40.0	95.63042847470741	18.181818181818183	206780.0
HL_CS17_42.trim_2U	9.665427509293679	41.0	79.71251548946717	18.181818181818183	807.0
