Module	Section	Sample Name	Source
FastQC	all_sections	FL_CS15_13.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_13.trim_1P_fastqc.zip
FastQC	all_sections	FL_CS15_13.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_13.trim_1U_fastqc.zip
FastQC	all_sections	FL_CS15_13.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_13.trim_2P_fastqc.zip
FastQC	all_sections	FL_CS15_13.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_13.trim_2U_fastqc.zip
FastQC	all_sections	FL_CS15_16.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_16.trim_1P_fastqc.zip
FastQC	all_sections	FL_CS15_16.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_16.trim_1U_fastqc.zip
FastQC	all_sections	FL_CS15_16.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_16.trim_2P_fastqc.zip
FastQC	all_sections	FL_CS15_16.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_16.trim_2U_fastqc.zip
FastQC	all_sections	FL_CS15_58.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_58.trim_1P_fastqc.zip
FastQC	all_sections	FL_CS15_58.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_58.trim_1U_fastqc.zip
FastQC	all_sections	FL_CS15_58.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_58.trim_2P_fastqc.zip
FastQC	all_sections	FL_CS15_58.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS15_58.trim_2U_fastqc.zip
FastQC	all_sections	FL_CS16_21.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_21.trim_1P_fastqc.zip
FastQC	all_sections	FL_CS16_21.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_21.trim_1U_fastqc.zip
FastQC	all_sections	FL_CS16_21.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_21.trim_2P_fastqc.zip
FastQC	all_sections	FL_CS16_21.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_21.trim_2U_fastqc.zip
FastQC	all_sections	FL_CS16_43.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_43.trim_1P_fastqc.zip
FastQC	all_sections	FL_CS16_43.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_43.trim_1U_fastqc.zip
FastQC	all_sections	FL_CS16_43.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_43.trim_2P_fastqc.zip
FastQC	all_sections	FL_CS16_43.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_43.trim_2U_fastqc.zip
FastQC	all_sections	FL_CS16_49.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_49.trim_1P_fastqc.zip
FastQC	all_sections	FL_CS16_49.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_49.trim_1U_fastqc.zip
FastQC	all_sections	FL_CS16_49.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_49.trim_2P_fastqc.zip
FastQC	all_sections	FL_CS16_49.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS16_49.trim_2U_fastqc.zip
FastQC	all_sections	FL_CS17_33.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS17_33.trim_1P_fastqc.zip
FastQC	all_sections	FL_CS17_33.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS17_33.trim_1U_fastqc.zip
FastQC	all_sections	FL_CS17_33.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_rna_seq/trimmed/FL_CS17_33.trim_2P_fastqc.zip
