Module	Section	Sample Name	Source
FastQC	all_sections	bat_175.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_175.trim_1P_fastqc.zip
FastQC	all_sections	bat_175.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_175.trim_1U_fastqc.zip
FastQC	all_sections	bat_175.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_175.trim_2P_fastqc.zip
FastQC	all_sections	bat_175.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_175.trim_2U_fastqc.zip
FastQC	all_sections	bat_2to4kb.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_2to4kb.trim_1P_fastqc.zip
FastQC	all_sections	bat_2to4kb.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_2to4kb.trim_1U_fastqc.zip
FastQC	all_sections	bat_2to4kb.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_2to4kb.trim_2P_fastqc.zip
FastQC	all_sections	bat_2to4kb.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_2to4kb.trim_2U_fastqc.zip
FastQC	all_sections	bat_400.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_400.trim_1P_fastqc.zip
FastQC	all_sections	bat_400.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_400.trim_1U_fastqc.zip
FastQC	all_sections	bat_400.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_400.trim_2P_fastqc.zip
FastQC	all_sections	bat_400.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_400.trim_2U_fastqc.zip
FastQC	all_sections	bat_5to6kb.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_5to6kb.trim_1P_fastqc.zip
FastQC	all_sections	bat_5to6kb.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_5to6kb.trim_1U_fastqc.zip
FastQC	all_sections	bat_5to6kb.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_5to6kb.trim_2P_fastqc.zip
FastQC	all_sections	bat_5to6kb.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_5to6kb.trim_2U_fastqc.zip
FastQC	all_sections	bat_800.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_800.trim_1P_fastqc.zip
FastQC	all_sections	bat_800.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_800.trim_1U_fastqc.zip
FastQC	all_sections	bat_800.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_800.trim_2P_fastqc.zip
FastQC	all_sections	bat_800.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_800.trim_2U_fastqc.zip
FastQC	all_sections	bat_8to10kb.trim_1P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_8to10kb.trim_1P_fastqc.zip
FastQC	all_sections	bat_8to10kb.trim_1U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_8to10kb.trim_1U_fastqc.zip
FastQC	all_sections	bat_8to10kb.trim_2P	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_8to10kb.trim_2P_fastqc.zip
FastQC	all_sections	bat_8to10kb.trim_2U	/domus/h1/sarasl/git/GenomeAnalysis/1_quality_check/fastqc_wgs/bat_8to10kb.trim_2U_fastqc.zip
